Channel              :,CH1
Frequency            :,25.00MHz
Period               :,40.00ns
PK-PK                :,1.042V
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,0.00100uS

index,CH1_Voltage(mV)
1521,-456.000000
1522,-416.000000
1523,-360.000000
1524,-304.000000
1525,-232.000000
1526,-160.000000
1527,-80.000000
1528,0.000000
1529,88.000000
1530,168.000000
1531,240.000000
1532,304.000000
1533,368.000000
1534,424.000000
1535,472.000000
1536,496.000000
1537,520.000000
1538,528.000000
1539,520.000000
1540,496.000000
1541,472.000000
1542,424.000000
1543,376.000000
1544,312.000000
1545,248.000000
1546,168.000000
1547,88.000000
1548,8.000000
1549,-72.000000
1550,-152.000000
1551,-224.000000
1552,-296.000000
1553,-360.000000
1554,-408.000000
1555,-448.000000
1556,-488.000000
1557,-504.000000
1558,-512.000000
1559,-504.000000
1560,-488.000000
1561,-456.000000
1562,-416.000000
1563,-360.000000
1564,-304.000000
1565,-232.000000
1566,-160.000000
1567,-72.000000
1568,8.000000
1569,88.000000
1570,168.000000
1571,240.000000
1572,312.000000
1573,376.000000
1574,424.000000
1575,472.000000
1576,496.000000
1577,520.000000
1578,528.000000
1579,520.000000
1580,496.000000
1581,472.000000
1582,424.000000
1583,376.000000
1584,312.000000
1585,240.000000
1586,168.000000
1587,88.000000
1588,8.000000
1589,-72.000000
1590,-152.000000
1591,-232.000000
1592,-296.000000
1593,-360.000000
1594,-408.000000
1595,-456.000000
1596,-488.000000
1597,-504.000000
1598,-512.000000
1599,-504.000000
1600,-488.000000
1601,-456.000000
1602,-416.000000
1603,-360.000000
1604,-304.000000
1605,-232.000000
1606,-152.000000
1607,-72.000000
1608,8.000000
1609,88.000000
1610,168.000000
1611,240.000000
1612,312.000000
1613,376.000000
1614,424.000000
1615,472.000000
1616,504.000000
1617,520.000000
1618,528.000000
1619,520.000000
1620,496.000000
1621,472.000000
1622,424.000000
1623,368.000000
1624,312.000000
1625,240.000000
1626,160.000000
1627,88.000000
1628,8.000000
1629,-72.000000
1630,-160.000000
1631,-232.000000
1632,-296.000000
1633,-360.000000
1634,-416.000000
1635,-456.000000
1636,-488.000000
1637,-504.000000
1638,-512.000000
1639,-504.000000
1640,-488.000000
1641,-456.000000
1642,-416.000000
1643,-360.000000
1644,-304.000000
1645,-232.000000
1646,-152.000000
1647,-72.000000
1648,8.000000
1649,88.000000
1650,168.000000
1651,240.000000
1652,312.000000
1653,376.000000
1654,424.000000
1655,464.000000
1656,496.000000
1657,520.000000
1658,528.000000
1659,520.000000
1660,496.000000
1661,464.000000
1662,424.000000
1663,376.000000
1664,312.000000
1665,240.000000
1666,168.000000
1667,88.000000
